Respondent ID,How many residents participated,Postal code (if residents are from the same neighbourhood),Indigenous,Black,Racialized,Youth,Women,Seniors,LGBTQ2S+,"Newcomers (less than 1 years in Canada,  refugees, migrants, undocumented peoples)","People with disabilities (physical, mental and/or with preexisting medical conditions)","Low-income/fixed income, precariously employed, underemployed or unemployed",Persons experiencing homelessness,Underhoused or precariously housed,Consumer survivors,Persons facing addiction challenges,Gender-based violence survivors,Incarcerated or formerly incarcerated,Persons who face cultural or religious discrimination,Ways in which you were personally impacted,"Supports, programs and services you were accessing before COVID-19",Urgent supports needed,Long term opportunities to make improvements,Three priorities for City,"Recommendations to create jobs, support small business and boost local economic development","Supports needed to share concerns, ideas and solutions with decision-makers at City Hall","Ideas on how the City, other levels of government, community partners and organizations can support your community to reduce greenhouse gas emissions and be better prepared to face the impacts of climate change","Successful actions or ideas that you, your business, your community, or your neighbourhood have implemented in response to the pandemic, that others can learn from and build on together?",Other comments or input that you would like the City to consider in planning for the COVID-19 recovery and rebuild process:,,,,, 
11825853920,11,M4H,,,1,,,,,1,,1,,,,,,,,Sitting at home doing nothing and no activity  People needs to be engaged    ,we do a lot of person to person interaction   affordable housing ,more benefits and programs  assistance for those who lost job  City should ask landlords to stop issuing late payments for those who can't afford to pay rent on time ; no late fees;   ,,affordable housing   more benefits and supports to those families affected by COVID1,many local businesses are still not operating even with the existing wage support from the provincial government at the end of the day they are still shouldering 21% of staff wages and if businesses are not operating well they won't take the risk ,engaging tenants and supporting tenants networks and coalition providing capacity support to sustain the work ,educating tenants in general about waste disposable ,,more flexible operating hours including after 1 and weekends ,,,,,
11825687581,15,M2R,,1,1,1,1,1,,1,,1,,1,,,,,,"Covid-1: Where do you see opportunities for the City to make improvements to programs and services that did not work for you and your community during Covid-1? How can these programs and services be strengthened?    - Can see the City making some improvements.  -- Giving people the knowledge to become computer literate, so that they can participate in events, and not feel so isolated (for seniors).  --Mental health, for everyone, because of the isolation. This can lead to other medical problems.  - Provide computer literacy programs.  - Have to make access to computers available.  -- Even to get onto the system costs.  - Refurbishing electronic devices that seniors can use (also reduces e-waste).  - Mobility issues for seniors.  -- Work with the City’s community centres.  - Test kits - making deliveries of test kits to people’s homes (for people who are not able to come out).  -- People need to come to the homes to do the tests properly (administer the tests).  -- Should extend the services to the list of people who can’t come out (list should be with the Health Unit of the City).  - The City should prepare for other pandemics.  -- Have enough masks available, to be able to hand them out to the public, to make them available to everyone.  -- Creating a directory for people to use when emergencies occur. A directory/network of programs and services that are available.  --- E.g. OpenLab - Bathurst-Finch Senior’s Society created a hotline during the pandemic.  Dental services.","Covid-1: Where do you see opportunities for the City to make improvements to programs and services that did not work for you and your community during Covid-1? How can these programs and services be strengthened?    - Can see the City making some improvements.  -- Giving people the knowledge to become computer literate, so that they can participate in events, and not feel so isolated (for seniors).  --Mental health, for everyone, because of the isolation. This can lead to other medical problems.  - Provide computer literacy programs.  - Have to make access to computers available.  -- Even to get onto the system costs.  - Refurbishing electronic devices that seniors can use (also reduces e-waste).  - Mobility issues for seniors.  -- Work with the City’s community centres.  - Test kits - making deliveries of test kits to people’s homes (for people who are not able to come out).  -- People need to come to the homes to do the tests properly (administer the tests).  -- Should extend the services to the list of people who can’t come out (list should be with the Health Unit of the City).  - The City should prepare for other pandemics.  -- Have enough masks available, to be able to hand them out to the public, to make them available to everyone.  -- Creating a directory for people to use when emergencies occur. A directory/network of programs and services that are available.  --- E.g. OpenLab - Bathurst-Finch Senior’s Society created a hotline during the pandemic.  Dental services.","1.     Food programs are important. Government to provide grants for volunteers, temporary workers, students, food banks and community gardens.     2.     Community gardens. Emergency preparedness group. Make the community aware of programs to connect with the community, especially seniors. We have to think about Global systems. Everyone should feel responsible and act. Plant more things.      1.     How can neighbourhoods collaborate to reduce environmentally harmful ways of traveling (transit and mobility) and how can the City of Toronto support it?  Carpooling as car insurance goes up  Community bus (stops: grocery store, stops of interest like community centers). Schedule these buses not during rush hours.  Less frequent buses  City investing in bike rental (bike lanes)  Depending on services. People should respect social distance. Difficult to implement safely during rush hour. More buses would help provide safety. Using a bicycle is better for the environment.     1.      Long-term care healthcare in our community to replace Branson.  Hub – financial support to increase hours and weekends and to open sooner  Finding jobs important – economic stimulus  Create jobs related to food security and climate change  JVS and YMCA – to help find jobs.  Schools – Northview Heights may have vacant space or other spaces in the community. SDA church tutoring – help with struggles.    Hub open during weekends and evenings. Community kitchen too.  Family support during pandemic – flooding at food bank management. There was food, but wasn’t distributed.","- Community came together as one  - Health field - protocols were very clear, people following instructions, rules of social distancing, use of masks  - One program that closed that was very important - wednesday fresh market produce - stopped - hope that it will continue  - Food distributed from ** library  - City should be opening up - more activities on sidewalk - open air market of fresh produce - a lot of people walking around not being able to access food - insecurity issue  - Could school students -work on market - YES there are students and other volunteers working in the garden  - Pandemic closures prevented people from coming together due to crisis of pandemic  - Programs of the hub closed when pandemic hit  - Did ** market produce close during COVID1 - Yes it did.  - Running sport program - it had to close - basketball courts  - Having food connection is important - we didn’t expect pandemic - these things need to happen  - ** community garden should be part of reopening plan  - Follow social distancing measures in the bathurst finch community  - Housing - make sure housing is more affordable, for residents, especially low-income people, more housing programs, subsidized housing  - Information management - better system - to administering services and accessibility  - Need community based internet and device management  - Accessing major programs has been an issue - benefits, entitlements, pensions - anything that relates to social services  - During covid-1 and before covid-1 - reduce number of people in the garden - for easier access  - Emergency Neighbourhood plans and committees to be prepared for future risk management  - Have drills with the Neighbourhood emergency preparedness group.   - Look to Hub in emergency - some sort of centre in control in emergency situations  - Retrofitting buildings - re emergency preparedness, renewable energy  ","Collaboration with Province: What priorities would you like to see the City of Toronto work on with the provincial government?  - Rent control  -- Should not be able to raise rent more than a certain percentage. Should be done Ontario-wide.  -- Should be able to set standards that the landlord has to abide by, so that the buildings are always maintained to proper living conditions.  - Put a tax on gas to pay for public transit.  - Add urgent care clinics (open 21/1) to the neighbourhood.  - Long-term care system  -- Needs to be improved, which is what lead to bad results during Covid-1.  -- Not for profit.  - The City should be able to do road tolls, to pay for road maintenance.  - Expand on subsidized housing.  -- Wait lists are too long (waiting period is 1 years).  - Housing for University students (require assistance for student housing as well).  - Mental health  -- Require more psychologists and psychiatrists (costs are not affordable).  --- Potentially can be included in OHIP.  - Take a look at systemic racism in government bodies  -- Improvement needed regarding racial issues (Police departments, in the Government of Ontario, and other law enforcement agencies).  - Education regarding equality and equity in the school curriculum.  - Job training and employment.  -- Retraining for new types of jobs.  - Minimum wage  -- Make wages livable.    What city should work on with provincial government:  - Transit and mobility - emergency sector, better prepared for climate change  - Mental health issues - Mental Health Pandemic  - Child care supports  - Senior services  - Dental care  - Affordable Housing - green housing, green jobs  - Fast rate of policy enactment so it doesn’t take so long - city of Toronto Act - not a lot of bite in it  - More and better storm water infrastructure to prevent flooding  - Expense to homeowners from flooding  - School system - education needs to provide better solutions for community building  - Make sure that those already suffering should not have to bear the cost of recovery  - Oversight of budget - to see where they can make changes in terms of services  - Reducing inequity in the city  - Fair taxation - reduction on inequality  - Reduce waste  - Different prices for different sizes of green bins? - perverse incentive",- Finding jobs important – economic stimulus  - Create jobs related to food security and climate change  - JVS and YMCA – to help find jobs.,,"Climate Change: How can the City support you and your community to be better prepared for the impacts of climate change?  - To continue education on climate issues and action in schools, community centres, and other venues.  - Have car-free zones, and make it more feasible for people to use public transit instead (lower emission transportation).  -- To help alleviate heavy traffic (especially heavy traffic).  - Make sure waste (green bin, recycling) ends up in the right places.  -- Potentially more education is required here.  - Deposit return program  -- Refunds for plastic, glass, and aluminum cans.  -- Only Ontario and Manitoba do not have this program.  - The City should make more family-related activities in parks regarding climate change and climate action.  - The City can plant more trees in some areas.  -- Encouraging more tree planting events. Not just in green areas, but generally planting plants is good for air quality.  -- Encourage community gardens (including in high-density buildings).  - Encourage rooftop gardening (wherever we’re allowed to implement those).  - Food security  -- City could create more farmer’s markets in certain areas, where there are not as many grocery stores, to promote more healthy eating.  -- Have markets run by residents in neighbourhoods (to promote affordable food markets).  -- Make it available for everyone.  - Affordable housing    Climate change - how can we be better prepared for impacts of climate change  - Retrofitting buildings - non-centralized energy systems - so we can be self sustainable in times of need  - Policy to speak up and run  - Strengthen mutual aid networks  - 1 minute neighbourhoods, where the essential items required to live in a community are within a cone of 1 minute accessibility",,"Transit and Mobility: How can neighbourhoods collaborate to reduce harmful ways of travelling (Transit and Mobility) and how can the City of Toronto support it?  - Creating bike paths and walking paths.  - Designated bus lanes.  - Affordable bus/transit fares  -- Allow seniors to ride free during off-peak hours.  -- Would motivate isolated seniors to come out more often.  - Eliminate the right turn on red lights (pedestrian safety)  -- People don’t stop at red lights while making right turns.  -- Increase fatalities for pedestrians.  - Put a tax on gas to pay for public transit.  - The need for Wheel Trans  -- Between TTC and the City of Vaughan, they don’t coordinate very well.  -- So the coordination between municipalities.  -- A harmonized bus system throughout the GTA.  - Create walkable communities  - Where cars are not needed. Everything accessible within a couple hundred meters.    Transit and mobility:  - Collaborate with TTC for better transit plans, better infrastructure for cycling, bike lanes, pedestrian lanes, car free zones  - Transit services group - for including work at home, employers providing transit passes for frontline workers  - Bus only lanes throughout the city - community benefits of those is also important  - All spaces that can grow food, do grow food - cuts down travel   - Walkable neighborhoods, access to food in the neighbourhood  - Electric vehicles instead of fossil fuel vehicles  - City in china - schezwan - all buses are electric and subways are electric - air is clean, streets wide and clean, bike lanes  - Jane finch corridor - a lot of people using that for bike lanes for exercise - don valley rivery  - Government needs to step in - be part of collaboration and partnership with TTC, and with transportation agencies  - Food banks - step up with their programs - new ways of doing things - advocate for more programs in food banks - for more sulf-sufficiency at the neighborhood level",,,,,
11825669792,2,,,,1,,1,1,,,,,,,,,,,,"physically, emotionally and spiritually  lost employment  lost access to child care   Emotional- angry, difficult emotions, boredome. She is outgoing person. She needs socialization. Missed attending community activities   Physical – good to exercise with a group   Spiritual- can’t go to church   ",PR card renewal   access to seniors programs and services ,Child care services   Food box   School related work – day care services for 1 years old; Library   get back to active life   ,Dental Insurance for children by husband has been cut off  because he lost his job     Hope they can open up the libraries  Some libraries are closed   In a seniors apartment  Hope they can use again the rec room to implement some activities   Some seniors are in the waiting list for housing subsidy hope they can also repair some of those that needs repair; put the lobby channel back; try to look into the housing concerns  ,Food assistance and child care     Recreational activities   ,Support fundraising initiatives in the church/community  Introduce again some programs that can be funded about engagement in the community cooking class they can have that program regarding those – food items na diversified that can be distributed in the community then also the peace and order because right now we are aware that we are not safe so many things like gun violence ,"House to house distribution of pamphlets, notice  and online platform regarding how to submit concerns ",Help proper garbage disposal     How to segregate compost from garbage     educate tenants about right/proper garbage disposal ,Checking in with neighbours   food box deliveries from TNO  cloth masks distribution ,No assurance of access to full time work  No income no money to pay rent   address peace and safety issues in Flemingdon/Thorncliffe  too much gun violence happening ,,,,,
11825589215,6,M4H,,,1,,1,,,1,,,,,,,,,,"1.	Lost employment; required to work long hours; lost personal care support from family because of social distancing; struggled to pay rent; felt sad, anxious, overwhelmed and can not do anything, they can’t even go outside to the park or to take walk afraid that they might catch the virus.","1.	Parks ans public spaces; realiable and safe transit; acess to libraries and library services; safe space to meet people in community; attending community programs and services in person at TNO's Caregivers In Transition PRogram ",Community support and services especially for migrant care workers and other vulnerable migrant workers   ,assistance for those who are struggling with immigration status as a result of changes on immigration policies; flexible hours of services after 1 pm or weekends ,Financial support for those who lost their jobs because of the covid-1; accessible parks and public spaces,Training programs for newcomers and assistance for better and customized settlement services ,Group discussions; printed information handouts for the people who are not computer savvy or for those who do not have access with computer and internet,more educational awareness for general public ,We are very satisfied with our community- they distributed food boxes/baskets to our community and it helps a lot; our community /settlement workers constantly communicating with us asking how we are coping up; what they can do to help us; shares information daily on how to access immediate help; an organization give away free seedlings and other garden materials to plant on our patio to keep our self busy.,more flexible hours of operations: weekends and evening ,,,,,
11825553839,3,M4H,,,1,1,1,,,,,,,,,,,,,"Family members have had Corona  Family member death due to Corona  Loss of friends and family   Staying indoors  Working long hours  lost employment or income  Physically, emotionally and spiritually (not able to go to Church, not able to attend activities with other seniors, like meeting with other seniors)  loss access to child care     ",Access to libraries  Public transit  Culture and arts program  Mosques      ,"•	Libraries  Schools  Public transit  Restaurants   Mosques  Child care and employment ","•	Fundraisers helped by Government  •	Meet people in communities and build a relationship which would bring the communities together  ","•	Eglinton construction  •	More bike lanes  •	Free stuff for youths who can’t afford things  •	Reduce bus fare  ","•	Create more jobs for youths/high school students  •	Volunteer opportunities  •	Help funding to get more jobs  •	Encouraging people to buy and support local business  •	Government showing up to these jobs and volunteer places which would make people want to go.  ","•	TNO  •	Representatives  •	More people speaking up and supporting you  ","•	Have someone working in that field to inforce them to reduce greenhouse gas  •	Plant more trees instead of taking them down  ","•	Safety measures  •	Wearing masks sooner  •	Social distancing  •	Don’t go out if you have symptoms  •	Get tested if you have the symptoms  ","•	Strict rules and measure so there are no more outbreaks  •	Masks should still be required  •	Covid needs to be taken seriously  •	People should be fined  ",,,,,
11824147712,6,,,,1,,,,,,,,,,,,,,,Adjusting to remote learning for university  Hindered social connections in the workplace  Increased anxiety surrounding going out  Maintaining boundaries and healthy relationships at home  Being displaced from another country - readjusting to Canadian culture,,,"Encouraging physical activity with children - building more community areas for all to get moving and building connections that we might not have access to  Institutions and government agencies and public services- conversations about unlearning and deconstructing a lot of previous conversations about accessibility  - we can see how easily and quickly we are able to accommodate and change to allow underrepresented populations to access services (ex. remote learning for universities)  -Previously reluctant rather than incapable to accommodate   Going forward, if someone is having trouble accessing services, it is possible to have services online  Discussions surrounding which jobs are essential - restructuring of the hierarchy in society - redistribution of pay   Doctors - too few in Canada - only one medical school in Toronto   -Large institutions do not have medical schools  - restructuring of the medical system   -Doctors have too much autonomy over patients - not like a service benefiting the patients, but benefiting the doctor  -Lack social connection with patients   -People have gotten the virus in medical centers other than frontline workers  -Healthcare system is underfunded and unequipped for even the flu season   -Government reaching out to foreign doctors who previously would not be able to practise here - now able to transfer over - systemically racist - did not recognize racialized folk’s qualifications and now that there is a crisis, these qualifications are enough   Systems available to people are lacking - need to evaluate who the healthcare system currently benefits and who it should moving forward  University tuition is the same, even though courses are online   A lot of people are living paycheck-to-paycheck - systems are broken  Doug Ford - wanted to increase class sizes and decreasing number of classes - pandemic amplifies how this is a bad idea   General societal attitude - people are hoarding medical supplies - people aren’t caring as much about each other   -Difficult problem to solve   Impact of CERB - need and benefit of universal basic income   -Research showing that universal basic income does not alter employment in any way   -Government is capable of providing this money and creating this support net - shifted a lot of people’s experience and quality of life   -Can be more net money than minimum wage jobs   Would want to have most qualified people during a crisis, so why not during regular times   Community centers - capacity for mental health councilors and services   -Not as available, ignorance in specific communities   Increasing mentor/mentee opportunities - can be about anything - mental health, career opportunities - being able to network   -Creating a system where professionals can help out mentees with services they need  Nursing homes - government response was lacking - lack of trust in things getting better ",,,"Organizing community townhalls - encouraging people to share thoughts through social media and email   Encouraging minorities - reaching out to population   -making it more personable so they feel valued at meetings  Question is framed to share perspectives of communities that are marginalized rather than a structural problem that hinders racialized communities from accessing these services  -Recognizing racialized lived experiences as valuable just as much as educational experiences  -Leading from above and creating shifts in terms of who is doing the work at the top   -Grassroot mobilization - reluctance of cities to find people to do the work - effort is not being made  -Learning to work with organizations that are not being recognized and are doing the work to create spaces for racialized communities   Depends on community - getting appropriate leaders that represent demographics of community   -Difficult to feel like you belong in canada - white people are the majority   -Can only be solved in time - getting used to the idea that there are immigrants in this country   Inequity in political parties - one Indian leader - small percent of population  Representational democracy should not be the forefront in decision making   -Should be a direct democracy that reaches every community    More listening and stronger course of action needs to be done   -Government wants to please the people temporarily   -Government should already know what the issues of their communities are   -Largely responsible for identifying issues within specific communities, responsibility should not be on civilians   -Governments are not taking job seriously, pleasing people until next election cycle   -Discussions have been happening for a long time and nothing has really changed  Increasing representation of people from marginalized groups might attract people from those groups to get involved   -Connecting with leaders   -Feeling more comfortable to reach out and express concerns and participate in decision making   ",,"Grocery stores have been doing well in terms of this   Government response - smaller class sizes in the fall   Awareness about hygiene practises is very useful   Trust and belief in science - constructing conversations that show the vitality of things like vaccines   Need and emphasis and openness of reaching out and accessing psychological support - especially when it comes to domestic violence and abuse   Awareness around racialized groups have allowed us to have uncomfortable conversations around systemic racism   -More likely to openly confront these issues than before  Student - having online school until december   Not going out, social distancing and wearing a face mask - emphasized in communities   Delivery volunteer work to pick up groceries for elderly   Remote learning continuing until december   Try to learn something new - especially with new accessibility platforms online - time to take advantage of increased spare time   Personal actions - staying inside, taking precautions, having discussions surrounding the pandemic - personal responsibility  Respecting other people’s space  Tuition fees associated with online classes - taking advantage of certain students",Parties participate in tokenism - assuming that all people of racialized communities will identify with leaders of color   Need to form opinions on actions   Having more options - more leaders of color   Too caught up on race - listening to ideas - shortsighted to base decisions on race   ,,,,,
11823761580,4,M3N,,1,1,1,1,,1,1,,1,,,,,,,,"•	Contracted COVID-1  -	Of the 1 participants, 1 participant contracted COVID  -	The participant’s mother is a front line worker (working at **). Once she had contracted it the entire family had contracted it. The family is now doing better.     •	Lost employment or income  - All 1 participants have experienced loss of income or employment     •	Felt sad, anxious, overwhelmed, or lonely  -  All 1 participants have experienced sadness, anxiety, loneliness or other overwhelming feelings during quarantine     •	Struggled to pay rent or mortgage  - Only 1 of the 1 participants struggled to pay for rent     •	Threatened with eviction  - None of the participants have been threatened with eviction     Other Notes:  -	One participant discussed the struggle of going to school during a global pandemic. Other than being a student, she is also an audio engineer. Due to COVID, she has loss a portion of her consistent income as an audio engineer   -	Besides the financial difficulties associated with COVID, it has been mentally difficult to cope with the pandemic. Especially as an extrovert, another participant found it difficult to connect with others. As an artist (DJ), it was hard to not be able to do what she loves and bring extra income as a **. Her routine was completely changed, as her 1-1 was put on hold, and this was difficult to adjust to.   -	One of the participants runs an **. At the beginning ZOOM was convenient but now has become a drag. The in person connection is much different than online connections. He misses people, community and just hanging out with friends.  -	One participant says that she had several different contracts for work that no longer exist. Social outings no longer exist. Live music, concerts, events, etc. She can’t travel, and that’s difficult. She feel mentally stagnant. Prior to COVID, she was going to see an **and a **. She has only recently started seeing her **, now that COVID measures have relaxed. And she sees her ** online. It is difficult to shift to online rather than in person. She also can’t volunteer, which is difficult as well.  ","•	Mental Health/Therapy: 2 out of the 1 participants   •	Culture or Arts/Programs: 2 out of the 1 participants  •	Libraries: 2 out of the 1 participants  ","In the next weeks to 1 months, it is important to have medical appointments outside of things related to COVID. Mental health services are difficult right now. Seeing a psychiatrist may be difficult right now. Moreover, one participant notes that it is urger to include trans medical care as a priority as the city begins to reopen following COVID’s closures. ","•	Arts/Community   - they should put more funding into arts programs and community programs    •	Housing   -	housing should be affordable and accessible, it integral     •	Affordable Therapy and Mental Health Services   -	fund mental health services and make it more accessible     •	Tax the Rich   -	put more funding into low income neighbourhoods and their schools in surrounding areas  -	radical change throughout the system    •	Defund the Police  -	reallocate these funds into communities that need it the most     •	Tuition Flexibility   -	students should not be paying full tuition for online, remote learning   ","1.	Make OW minimum 2000  2.	Tax the Rich   1.	Living Wage for ALL  1.	Defund the Police (  1.	Housing the Homeless (and getting input from Homeless people)   - facilities to use the washroom, homeless people should be able to use the bathroom   - a lot more shelters, one in every neighbourhood. if they can make a condo, they can make a shelter.   ","•	Small Business Loans or Grants  -	they need to make it more accessible for Black and Indigenous people to apply for small business loans or grants     •	Rent Control     •	Boosting Mental Well Being will Boost the Overall Safety and Security of a City  -	One participant notes that you can only boost the local economy if you improve the mental well being of the people. The better the well being of the people, the better the economy. We need to be able to feed our healthy minds. But if people are working 2 or 1 jobs to keep up with paying for rent, how could they have time to think about helping the city? The more we invest into the well being of the people, the better the city.   ","The City of Toronto most take the recommendations and suggestions of Black, Indigenous and People of Colour seriously. The City consistently has focus group sessions but do not actually listen to the concerns of marginalized voices in the city. The City needs to radically look at the voices its failing to listen to. Stop being performative. Stop asking poor people how to help, and ignore their plea for help. This summer has shown the power of the people, when we’re collectively on the same page, there is a massive change that can come from that.",- less cars on the road ,"-	The instagram art and music shows","-	Allow people the option to still work from home: Since its abundantly clear they can sustain that… Allows people to spend time with their kids if they want to.  -	Keep CERB in place or increase OW  -	An extended weekend (a 1 day work week)  -	Accessibility for those with disabilities to work from home  -	Rent Relief, people should not have had to have today full rent during a pandemic     Story Telling   •	Many of the participants discussed the significance of financial supports   -	One participant says , “$2000/month is not enough”.   -	The discrepancy between what people on OW are receiving versus what people on CERB get. There is a recognition that 2000 is what people need to survive (outside of paying for rent). How is it that people on OW receive far less?  -	Allocate more money into priority neighbourhoods  -	Arts and Community services and programs need more funding   -	things have been moving to online world but a lot of people don’t have access to computers or WIFI, how can we accommodate them?  -	The economy will crash if you do not tend to the needs of the poor, working class     •	All participants agree that public services need to be completely changed, particularly TTC  -	TTC needs to be free  -	Abolish fare inspectors    •	One participant talked about the struggles of accessing health care as a trans person  -	trans confirming surgeries were not considered essential surgeries, but for trans people, the surgery is essential to their livelihood   -	trans people deserve to have better access to healthcare   ",,,,,
11823211591,10,M9w,,,,,,,,1,,,,,,,,,,None ,Computer ,Child care and children program ,People need to come together on work as one ,More help for mental people,By giving more money to the family that need help the most ,Provide more programs for the kids and after school program and all so for children who have special needs,I don’t know what to say ,Do you need to change the buzzer code the building need to upgrade to a lot of things need to be fixed in the building,Provide more masks to the families that don’t have the money to buy,,,,,
11821992803,10,M5A ,,1,1,,1,,,,1,1,,,,,,,,"-	Difficulty navigating resources during mental health crisis  -	Many isolated in their own homes  -	Agencies offering individual support virtually which is challenging  -	Many youth falling through the cracks in getting support  -	Lack of social network and connections of support  -	Seniors struggling with fear of covid-1 and isolation during old-age as well  -	Difficult for people with kids to return to work when childcare is not safely available  -	Kids do not have homework support anymore and set back a year in schooling  -	Access to recreation activities and advocacy stopped, no staff to connect to  -	Children’s deprivation of socialization, affecting child’s development, language  ",neighbourhood programs for adults and youth   - Access to recreational facilities or programming  - Skills training and employment supports  - community meetings and events   - publics spaces   - community centres,"-	Mental health supports  -	Income and Food supplements and benefits  -	Employment supports for youth  -	Neighbourhood improvement areas developing proposals for employment opportunities  ","-	Harm reduction programs and sites  -	Permanent and transitional housing instead of shelters  -	Guaranteed income  -	Access to dental healthcare for adults  -	Residents apart of programming and yearly planning  -	Investing in social services  ",- Permanent and transitional housing instead of shelters  - youth employment   - transit ,"-	Access to transportation for low income folks  -	Healthcare funding  -	Affordable housing  -	Better ways to work with the police around mental health  -	Small business supports that can create employment opportunities and other programs  o	Access to capital and loans  o	Programs for small businesses to hire local  -	Working with province to make sure community benefits are leveraged and there is an inclusive procurement so small business can actually help around employment,   -	All three levels of government spend money on different sorts of procurement, make sure there is a lot of return for community through the investments  -	Social procurement allows for a lot of flexibility  -	How are local businesses incorporating communities  ","-	City’s work with other levels of government  -	Incarcerated folks and their families need to be cared for because when they return to communities and they are not well it impacts entire communities  -	More funding for SDP table  -	Replicating this type of work across neighbourhoods will be very helpful with funding  -	All tables were suspended during covid-1 shut down, but those tables should have been leveraged by the City to connect with residents and grassroots  -	Local planning tables should be supported and collaborated with the Cluster tables  -	Resident leadership needs to be supported, support local champion network  -	City is looking at scary situation in terms of revenue  -	Federal and Provincial government need to support municipalities  ","-	More bike lanes instead of driving cars  -	Opens streets for walking without traffic  -	More trees, parks","-	Virtual meetings and town halls are important  -	Muslim Welfare food deliveries  -	Resident leadership was important for transition, access to resident contacts to organize  -	Neighbourhood pods to increase communication amongst residents of Regent Park  -	Pathways to Education supported students through social media  -	Daniel's Spectrum provided computers to youth  ",,,,,,
11819683594,15,,,,1,,,1,,1,,1,,,,,,,,"2% contracted covid-1  1% friend or family contracted covid-1  1% experienced family or friend death due to covid-1  1% lost employment or income  1% required to work longer hours  1.1% Had to temporarily close down business or adjust business services  1%Lost access to child care  21%Loss of personal care support from family, friends, neighbours, or a community agency due to physical distancing requirements  1%Lost access to critical programs or services  1% Felt sad, anxious, overwhelmed, or lonely  1% Struggled to pay rent   1% Struggled to pay mortgage  1.1% Threatened with eviction  1.1%Increased exposure to domestic violence or other types of abuse within my household  0% Experienced elder abuse  1.1 %Had to visit a food bank or access food programs  ","1.1 %income supports  21%Skills training and employment supports  1%Small business supports  1.1%Harm reduction or addiction supports  1%Parenting programs and supports  1%Mental health supports and/or supports to address social isolation  1%Child care and children's programs  1.1%Youth services, programs and spaces  1.1%Seniors' care and seniors programs  1.2%Affordable housing  2.1%Shelter access  1%Drop-ins and meal programs  21%Culture and arts programs  1%Reliable and safe transit  21.1%Access to recreational facilities or programming  1%Access to libraries and library services  21%Advocacy supports (e.g. community and speciality legal clinics)  1%Food banks and other food security programs  1%Parks and public spaces  1.1%Space for people to meet safely in communities or to deliver important community programs and services in person or virtually  1%Opportunities for services to be delivered virtually through technology innovation  1.1%Technology support to access virtual programs and services (e.g. internet access, devices)  ","masks, public health education, free service, library service, financial support to low income workers and seniors ",affordable medicare  PPE supply   library should have more computers   mask   community safety   ,public health measures   senior service   affordable housing   reducing living cost ,have more training   more job opportunities   encourage small business   financial support ,more consultation   senior events   chinese service information   mental health support ,waste management   green transportation   more education   have more safe public transportation ,wearing mask is really successful in chinese community   donating PPE to the healthcare ,"Support for low wage workers and community   •	For many low wage workers, they’re risking life to do the work. Business is making the profit. However, their pay is still very low. Hope the government could have more financial support for the low wage workers.  •	The living cost has increased after covid. However, people are earning less or losing job.   •	Hope government could have more benefit programs to workers and seniors.   •	Worry about the reopen. Feels it is too soon.     Public health measures   •	Hope the government could provide more resource in vaccine research.   •	Hope the government could make sure the rapid response to outbreak.   •	Wearing mask is really importance. Hope government could do more education in the community. Wearing mask is to protect other people.   •	Some public health measures such as washing hands should last longer than covid-1 for next pandemic.   •	If someone got virus, they will pass the virus to others if stayed at home. Government should have centralized management of the patients.    Employment issue  •	Some workers encounter issues getting wage from employer, and accessing the benefits.   •	Many workers who injured at work before covid, are being pushed by WSIB to work during covid.   •	    Seniors   •	Long-term care home crisis is really serious. Should make sure the long term care service providing and space created in the future, should follow the guideline.   •	Senior subsidized housing do not have thorough cleaning.     Library   •	Should have clear library service reopen info available.   •	Should not closed. Should provide some safe measures to access the library service during pandemic. It is important for people’s mental health     Education   •	How to make sure the children in the school not got the virus.   •	    2. what resources need   •	If the economy would to reopen, the mask is the most important resource. Suggest that the government could provide mask to people. If the government bought the mask, the price would be lower compared to the retail price.   •	If the economy would to reopen, there should be medicine provided.         1. city, provincial, federal   •	Should have more money towards to the public transportation and other service   •	Should have free mask provided   •	More service will create more job     ",,,,,
11818984414,,M6M,,1,1,,1,,,,,1,,1,,,1,,1,Cost of groceries and providing for my family of 1 skyrocketed. As a woman who is also a single mother it's very challenging for me. Anxiety to use public transit with already fragile children. Having to pay someone to take me to the grocery store via car or even order in. Buying extra cleaning and preventative supplies for our home. Items to boost our immune system.,,"Child-care, job search, job placement, small business help, food bank, naturopathic health care ",Reduce cost even further for low income. How can we get ahead if we can't afford too. ,,,,,,,,,,,
